Building Name,Abbreviation,Site Location
Old ARDC HQ-To be demo,M194,ARDC
Hort/Turf North Storage Garage (by old HQ),M195,ARDC
Hort/Turf South Storage Garage,M196,ARDC
Farm Ops E-Farm Feedmill,M197,ARDC
IAPC E-Farm North MOF,M198,ARDC
Farm Ops Bin 12,M199,ARDC
Farm Ops Bin 13,M200,ARDC
Farm Ops Bin 14,M201,ARDC
Farm Ops Bin 15,M202,ARDC
Cow-Calf Stock Well S7 Wellhouse (Section 29),M203,ARDC
Cow-Calf Stock Well S4 Wellhouse (Section 36),M204,ARDC
W.P. Snyder Admin Bldg,N045,West Central Research & Ext
Beef Barn 53,N002,West Central Research & Ext
Beef Office & Shop-West Dairy Barn,N003,West Central Research & Ext
Calving Shed,N004,West Central Research & Ext
Chemical Storage Bldg,N005,West Central Research & Ext
Domestic Well House,N006,West Central Research & Ext
Dryland Barn-Horse Barn A,N007,West Central Research & Ext
Dryland Machine Shed-Mach Shed B,N008,West Central Research & Ext
Dryland Storage Shed,N009,West Central Research & Ext
Duplex,N010,West Central Research & Ext
Entomology Storage-Poultry Hs #10,N011,West Central Research & Ext
Farrowing House,N012,West Central Research & Ext
Fly Barn-Livestock Insect Barn,N013,West Central Research & Ext
Feed Mill & Storage,N014,West Central Research & Ext
"Garage-Schaaf, 3-stall",N015,West Central Research & Ext
"Garage-Residential, 4-stall",N016,West Central Research & Ext
"Garage-Marlin, 8-stall",N017,West Central Research & Ext
"Garage-Irrigation, 1-stall",N018,West Central Research & Ext
Garage-Haack 2-stall-West Place,N019,West Central Research & Ext
Gestation Unit,N020,West Central Research & Ext
Hay Barn-West Place,N021,West Central Research & Ext
Old Dairy Barn,N024,West Central Research & Ext
Old Horse Barn,N025,West Central Research & Ext
Plant Materials Bldg & Greenhouse,N027,West Central Research & Ext
Pork Nursery,N028,West Central Research & Ext
"Residence - Agronomist, Axthelm",N030,West Central Research & Ext
Residence - Cottage B,N031,West Central Research & Ext
"Residence - Cottage C,Solomon House",N032,West Central Research & Ext
"Residence - Cottage, Crenshaw House",N033,West Central Research & Ext
"Residence - Cottage, Peterson House",N034,West Central Research & Ext
"Residence - Dairyman's, Schaaf House",N035,West Central Research & Ext
"Residence - Foreman's",N036,West Central Research & Ext
"Residence - Herdsman's, Haack # 16",N037,West Central Research & Ext
Residence - Irrigation House,N038,West Central Research & Ext
"Residence - Poultry Plant, Soper House",N039,West Central Research & Ext
Residence - Dryland Farm House,N040,West Central Research & Ext
Agronomy Seed House,N041,West Central Research & Ext
Shop,N042,West Central Research & Ext
Swine Shop & Office,N043,West Central Research & Ext
Swine Research Facility,N046,West Central Research & Ext
Beef Handling Facility,N047,West Central Research & Ext
Sandyland Shop - see 71304 & 70704,N048,West Central Research & Ext
Office Annex,N022,West Central Research & Ext
Vet Science Lab,VSL,West Central Research & Ext
Research & Extension Support Bldg,N029,West Central Research & Ext
Variety Testing 2,N093,West Central Research & Ext
Metal Storage Building,N094,West Central Research & Ext
Cabin 11 - Camp,GDL,Cedar Point Biological Station
Cabin 12 - Camp,O002,Cedar Point Biological Station
Cabin 13 (4-unit) - Camp,O003,Cedar Point Biological Station
Cabin 14 (2-unit) - Camp,O004,Cedar Point Biological Station
Field Lab - Camp,O005,Cedar Point Biological Station
Field Research Lab - Camp,O006,Cedar Point Biological Station
Garage - Camp,O007,Cedar Point Biological Station
Research Building - Camp,O008,Cedar Point Biological Station
Boat House - Camp,O009,Cedar Point Biological Station
Cabin 1 - Camp,O010,Cedar Point Biological Station
Cabin 2 - Camp,O011,Cedar Point Biological Station
Cabin 3 - Camp,O012,Cedar Point Biological Station
Cabin 4 - Camp,O013,Cedar Point Biological Station
Cabin 5 - Camp,O014,Cedar Point Biological Station
Cabin 6 - Camp,O015,Cedar Point Biological Station
Cabin 7 - Camp,O016,Cedar Point Biological Station
Cabin 8 - Camp,O017,Cedar Point Biological Station
Cabin 9 - Camp,O018,Cedar Point Biological Station
Cabin 10 - Camp,O019,Cedar Point Biological Station
Garage - Camp,O020,Cedar Point Biological Station
Goodall Lodge - Camp,O021,Cedar Point Biological Station
Infirmary - Camp,O022,Cedar Point Biological Station
Maintenance Garage - Camp,O023,Cedar Point Biological Station
Pump House - Camp,O024,Cedar Point Biological Station
Wash House 1 - Camp,O026,Cedar Point Biological Station
Wash House 2 - Camp,O027,Cedar Point Biological Station
Staff Homestead House - Biological Station,O030,Cedar Point Biological Station
Gainsforth Center,O031,Cedar Point Biological Station
Cedar Point Biological Station Washhouse,O032,Cedar Point Biological Station
Building 1-lab,shop,P001,Horning Forestry Farm
Building 3,P002,Horning Forestry Farm
Building 4,P003,Horning Forestry Farm
Building 5,P004,Horning Forestry Farm
New Metal Shed,P005,Horning Forestry Farm
Halsey Forest Station,Q001,"Forestry, Fisheries & Wildlife"
Farm Barn,R001,Rogers Memorial Farm
Rogers Memorial Farmhouse,RMFH,Rogers Memorial Farm
Farm Quonset,R003,Rogers Memorial Farm
Field Laboratory,R004,Rogers Memorial Farm
Turkey Shed,R005,Rogers Memorial Farm
South Storage Shed,R006,Rogers Memorial Farm
North Storage Shed,R007,Rogers Memorial Farm
Chicken Coop,R008,Rogers Memorial Farm
Garage,R005,Rogers Memorial Farm
Grain Bin 1 (6,000 Bushel),R010,Rogers Memorial Farm
Grain Bin 2 (3,000 Bushel),R011,Rogers Memorial Farm
Grain Bin 3 (3,000 Bushel),R012,Rogers Memorial Farm
Research and Machine Storage,R013,Rogers Memorial Farm
High Plains Ag Lab Office & HQs,S003,High Plains Agriculture Lab
Sidney Machine Shop,SMS,High Plains Agriculture Lab
Well House,S005,High Plains Agriculture Lab
Shop,S004,High Plains Agriculture Lab
Bunk House,T001,Gudmundsen Sandhills Lab
Cattle Handling Shed,T002,Gudmundsen Sandhills Lab
Gudmundsen House,T003,Gudmundsen Sandhills Lab
Horse Barn,T005,Gudmundsen Sandhills Lab
HQ Storage Bldg,T004,Gudmundsen Sandhills Lab
Sandhills Lab Conference Center,T006,Gudmundsen Sandhills Lab
Managers House,T007,Gudmundsen Sandhills Lab
Managers Garage,T008,Gudmundsen Sandhills Lab
Metal Shop Bldg,T009,Gudmundsen Sandhills Lab
Old Shop,T011,Gudmundsen Sandhills Lab
South Meadow Barn,T012,Gudmundsen Sandhills Lab
South Meadow Garage,T013,Gudmundsen Sandhills Lab
South Meadow House,T014,Gudmundsen Sandhills Lab
Wagonhammer Education Center,T015,Gudmundsen Sandhills Lab
Employee House,T016,Gudmundsen Sandhills Lab
Livestock Demonstration Building,T017,Gudmundsen Sandhills Lab
South Meadow Cattle Handling,T018,Gudmundsen Sandhills Lab
House North Place-Northwest Ag Lab,W002,Northwest Agriculture Lab
Storage Shed North Place-Northwest Ag Lab,W003,Northwest Agriculture Lab
Storage Shed North Place-Northwest Ag Lab,W004,Northwest Agriculture Lab
Open Front Cattle Working Facility,X001,Scottsbluff Ag Lab at Mitchell
Scale House,X003,Scottsbluff Ag Lab at Mitchell
Feedmill,X006,Scottsbluff Ag Lab at Mitchell
Lionel Harris Lab,X010,Scottsbluff Ag Lab at Mitchell
Potato Cellar,X016,Scottsbluff Ag Lab at Mitchell
Quonset Bldg,X017,Scottsbluff Ag Lab at Mitchell
Repair Shop,X018,Scottsbluff Ag Lab at Mitchell
Well House,X019,Scottsbluff Ag Lab at Mitchell
Water Distribution,X020,Scottsbluff Ag Lab at Mitchell
South Pumphouse,X021,Scottsbluff Ag Lab at Mitchell
Feedmill Pumphouse,X022,Scottsbluff Ag Lab at Mitchell
Machinery Storage,X028,Scottsbluff Ag Lab at Mitchell
